BIG SWAMP,BIG SWAMP SA 
BOSTON,BOSTON SA 5607
BRIMPTON LAKE,BRIMPTON LAKE SA 
CHARLTON GULLY,CHARLTON GULLY SA 
COFFIN BAY,COFFIN BAY SA 5607
COOMUNGA,COOMUNGA SA 
COULTA,COULTA SA 5607
CUMMINS,CUMMINS SA 5631
DUCK PONDS,DUCK PONDS SA 5607
EDILLILIE,EDILLILIE SA 5630
FARM BEACH,FARM BEACH SA 5607
FLINDERS,FLINDERS SA 
FOUNTAIN,FOUNTAIN SA 
GREEN PATCH,GREEN PATCH SA 
HAWSON,HAWSON SA 
KAPINNIE,KAPINNIE SA 
KARKOO,KARKOO SA 5632
KELLIDIE BAY,KELLIDIE BAY SA 5607
KIANA,KIANA SA 5607
LAKE WANGARY,LAKE WANGARY SA 
LINCOLN,LINCOLN SA 
LINCOLN NATIONAL PARK,LINCOLN NATIONAL PARK SA 5607
LITTLE DOUGLAS,LITTLE DOUGLAS SA 5607
LITTLE SWAMP,LITTLE SWAMP SA 
LOUTH,LOUTH SA 5607
LOUTH BAY,LOUTH BAY SA 
MITCHELL,MITCHELL SA 5632
MORTLOCK,MORTLOCK SA 
MOUNT DRUMMOND,MOUNT DRUMMOND SA 
MOUNT DUTTON BAY,MOUNT DUTTON BAY SA 5607
MOUNT HOPE,MOUNT HOPE SA 5607
NORTH SHIELDS,NORTH SHIELDS SA 5607
PEARLAH,PEARLAH SA 
POINT BOSTON,POINT BOSTON SA 5607
POONINDIE,POONINDIE SA 5607
PORT LINCOLN,PORT LINCOLN SA 5606
PROPER BAY,PROPER BAY SA 
SHANNON,SHANNON SA 
SLEAFORD,SLEAFORD SA 5607
SLEAFORD BAY,SLEAFORD BAY SA 
STAMFORD,STAMFORD SA 
TIATUKIA,TIATUKIA SA 
TOD RIVER (RESERVOIR),TOD RIVER (RESERVOIR) SA 
TOOTENILLA,TOOTENILLA SA 
TULKA,TULKA SA 5607
ULEY,ULEY SA 5607
ULIPA,ULIPA SA 
WANGARY,WANGARY SA 5607
WANILLA,WANILLA SA 5607
WARROW,WARROW SA 
WHITE FLAT,WHITES FLAT SA 5607
WHITES FLAT,WHITES FLAT SA 5607
WHITES RIVER,WHITES RIVER SA 
YEELANNA,YEELANNA SA 5632
